Country,Sex,"Total mortality effect attributable to age structure, 2010-2019","Total disability effect attributable to age structure, 2010-2019","Total mortality effect attributable to population size, 2010-2019","Total disability effect attributable to population size, 2010-2019"
Afghanistan,Male,-1.44,-1,4.64,2.48
Afghanistan,Female,-0.92,-0.72,3.87,2.68
Afghanistan,Both sexes,-1.13,-0.83,4.23,2.57
African Region,Male,-0.22,0.2,3.62,1.58
African Region,Female,-0.11,0.38,3.46,2.18
African Region,Both sexes,-0.16,0.29,3.56,1.87
Albania,Male,1.15,1.11,-0.44,-0.51
Albania,Female,1,1.3,-0.37,-0.7
Albania,Both sexes,1.11,1.2,-0.41,-0.6
Algeria,Male,0.55,0.89,1.31,1.41
Algeria,Female,0.48,0.88,1.03,1.75
Algeria,Both sexes,0.51,0.88,1.17,1.58
Angola,Male,-0.5,0.02,5,2.31
Angola,Female,-0.13,0.3,4.61,2.95
Angola,Both sexes,-0.3,0.15,4.84,2.64
Antigua and Barbuda,Male,1.22,0.95,0.43,0.46
Antigua and Barbuda,Female,1.03,1.02,0.09,0.15
Antigua and Barbuda,Both sexes,1.12,0.99,0.25,0.32
Argentina,Male,0.31,0.39,0.85,0.77
Argentina,Female,0.09,0.41,0.63,1.02
Argentina,Both sexes,0.19,0.4,0.75,0.9
Armenia,Male,-0.15,0.21,-0.25,-0.19
Armenia,Female,-0.02,0.31,-0.23,-0.35
Armenia,Both sexes,-0.07,0.27,-0.25,-0.26
Australia,Male,0.43,0.64,0.93,1.51
Australia,Female,0.24,0.44,0.68,1.92
Australia,Both sexes,0.33,0.54,0.81,1.72
Austria,Male,0.39,0.46,0.5,0.68
Austria,Female,0.19,0.18,0.24,0.63
Austria,Both sexes,0.27,0.29,0.36,0.67
Azerbaijan,Male,-0.18,0.19,1.41,0.82
Azerbaijan,Female,-0.13,0.23,0.94,0.95
Azerbaijan,Both sexes,-0.14,0.21,1.18,0.9
Bahamas,Male,0.8,0.77,0.91,0.61
Bahamas,Female,0.64,0.81,0.79,0.87
Bahamas,Both sexes,0.73,0.8,0.86,0.74
Bahrain,Male,1.11,1.34,1.22,1.45
Bahrain,Female,1.24,1.62,0.94,1.71
Bahrain,Both sexes,1.18,1.49,1.11,1.56
Bangladesh,Male,0.99,1.51,0.96,0.65
Bangladesh,Female,0.83,2.21,1.17,1.21
Bangladesh,Both sexes,0.93,1.82,1.08,0.91
Barbados,Male,0.61,0.67,0.5,0.49
Barbados,Female,0.34,0.5,0.39,0.56
Barbados,Both sexes,0.46,0.58,0.44,0.53
Belarus,Male,0.3,0.07,-0.23,-0.16
Belarus,Female,-0.04,-0.03,-0.15,-0.23
Belarus,Both sexes,0.11,0.03,-0.2,-0.2
Belgium,Male,0.25,0.39,0.39,0.52
Belgium,Female,-0.03,0.22,0.24,0.6
