Country,"Total mortality effect attributable to age structure, 2019-2030","Total disability effect attributable to age structure, 2019-2030","Total mortality effect attributable to population size, 2019-2030","Total disability effect attributable to population size, 2019-2030"
Afghanistan,0.33,0.62,7.02,4.17
Albania,0.53,0.58,-0.02,-0.02
Algeria,0.18,0.9,1.18,1.74
Angola,1.04,0.84,5.5,3.28
Antigua and Barbuda,1.42,1.09,0.67,0.78
Argentina,0.78,0.88,0.38,0.47
Armenia,0.71,0.03,-0.38,-0.48
Australia,0.54,0.85,0.71,1.61
Austria,0.52,0.63,0.17,0.34
Azerbaijan,1.61,0.79,0.41,0.38
Bahamas,1.76,1.33,0.75,0.62
Bahrain,2.08,1.95,1.02,1.65
Bangladesh,0.55,0.85,1.57,1.56
Barbados,0.74,0.21,-0.34,-0.4
Belarus,1.09,0.19,-0.73,-0.82
Belgium,0.57,0.5,0.27,0.53
Belize,1.14,0.53,0.98,0.96
Benin,0.27,0.61,4.27,2.4
Bhutan,0.23,0.76,0.91,0.89
Bolivia (Plurinational State of),-0.15,0.06,1.74,1.58
Bosnia and Herzegovina,1.27,0.75,-0.77,-1.13
Botswana,0.28,0.24,2.92,2.01
Brazil,1.3,1.45,0.11,0.14
Brunei Darussalam,2.09,1.94,0.64,0.83
Bulgaria,0.25,0.04,-0.52,-0.58
Burkina Faso,-1.43,-0.39,4.24,2
Burundi,-0.07,0.05,4.47,2.51
Cabo Verde,1.07,0.91,-0.07,-0.07
Cambodia,1.18,1,1.55,1.16
Cameroon,0.47,0.27,2.28,1.29
Canada,0.49,0.74,0.77,1.52
Central African Republic,-2.1,-1.83,4.49,1.96
Chad,-0.53,-0.17,6.98,3.25
Chile,1.23,1.66,0.69,1.19
China,1.42,1.59,0,0
"China, Taiwan Province of China",1.46,1.46,-0.24,-0.39
Colombia,0.83,0.15,1.35,1.78
Comoros,-0.23,-0.55,3.8,2.6
Congo,0.22,-0.17,4.75,2.9
Costa Rica,1.41,1.75,0.84,1.2
C?te d'Ivoire,0.21,0.23,5.62,3.11
Croatia,0.66,0.56,-0.82,-1.37
Cuba,0.86,0.46,-0.36,-0.49
Cyprus,0.46,0.79,0.45,0.92
Czechia,0.54,0.54,-0.07,-0.11
Dem. People's Republic of Korea,1.2,0.82,0.29,0.25
Democratic Republic of the Congo,0.57,-0.05,6.44,3.83
Denmark,0.44,0.59,0.36,0.65
Djibouti,3.01,2.18,0.96,0.61
Dominican Republic,0.53,0.65,1.2,1.11
Ecuador,0.79,1.31,0.86,1.04
Egypt,1.78,1.27,1.95,1.92
El Salvador,0.61,0.04,0.32,0.33
Equatorial Guinea,2.84,1.85,4.87,3.23
Eritrea,3.58,1.93,-5.52,-3.99
Estonia,0.45,0.47,0.01,0.02
Eswatini,2.39,1.62,3.01,1.42
Ethiopia,0.88,0.76,5.06,3.55
Fiji,0.52,0.55,0.56,0.48
Finland,0.49,0.62,0.12,0.23
France,0.59,0.64,0.15,0.31
Gabon,0.43,0.29,6.07,4.07
Gambia,0.49,0.47,4.32,2.66
Georgia,0.03,-0.24,0.42,0.43
Germany,0.15,0.31,-0.1,-0.2
Ghana,1.04,0.82,2.45,1.47
Greece,0.46,0.3,-0.32,-0.59
Grenada,1.08,0.94,1.22,1.18
Guam,0.68,0.36,1.06,0.89
Guatemala,0.13,-0.2,2.84,2.75
Guinea,-0.18,0.23,4.71,2.35
Guinea-Bissau,1.67,1.33,3.68,1.81
Guyana,0.57,0.44,1.55,1.23
Haiti,2.48,1.36,0.75,0.49
Honduras,0.43,0.41,2.15,1.96
Hungary,0.33,0.19,-0.12,-0.16
Iceland,0.6,0.38,1.04,2.09
India,1.36,1.41,1.21,1.13
Indonesia,1.78,1.33,0.92,0.76
Iran (Islamic Republic of),1.75,1.23,1.04,1.59
Iraq,0.14,-0.48,2.92,2.98
Ireland,0.78,0.96,0.71,1.45
Israel,0.46,0.4,0.6,1.25
Italy,0.55,0.61,-0.17,-0.39
Jamaica,0.66,-0.76,0.14,0.16
Japan,0.36,0.77,-0.38,-0.78
Jordan,1.77,2.61,0.64,1.1
Kazakhstan,1.03,0.72,2.02,1.93
Kenya,0.76,0.63,3.85,2.54
Kiribati,0.58,0.48,2.59,1.59
Kuwait,-0.28,-3.57,1.46,3.12
Kyrgyzstan,1.09,-0.7,1.87,1.83
Lao People's Democratic Republic,0.59,0.61,2.1,1.37
Latvia,0.15,0.24,-0.54,-0.65
Lebanon,0.79,0.25,0.71,1.34
Lesotho,-0.15,-0.04,5,2.14
Liberia,1.12,0.67,3.02,2.12
Libya,1.16,0.54,1.41,1.43
Lithuania,0.11,0.18,-0.19,-0.23
Luxembourg,0.65,0.46,0.84,1.66
Madagascar,1.78,1.1,3.98,2.23
Malawi,0.4,0.45,5.18,2.66
Malaysia,1.29,1.19,1.56,1.68
Maldives,0.93,1.34,0.79,1.12
Mali,-1.05,-0.65,4.81,2.55
Malta,0.02,0.33,1.49,2.66
Mauritania,-0.56,-0.83,4.64,3.44
Mauritius,1.23,0.98,-0.07,-0.08
Mexico,0.84,0.91,0.73,0.81
Micronesia (Fed. States of),0.58,0.26,1.45,1.03
Mongolia,1.4,1.05,1.79,1.48
Montenegro,0.66,0.36,-0.03,-0.03
Morocco,1.15,0.99,0.87,1.03
Mozambique,0.31,0.18,5.68,2.91
Myanmar,1.02,0.38,0.45,0.35
Namibia,0.18,0.16,4.99,2.92
Nepal,0.67,0.91,0.21,0.2
Netherlands,0.45,0.48,0.54,1.11
New Zealand,0.69,0.94,0.52,1.09
Nicaragua,0.73,0.27,1.28,1.72
Niger,0.1,0.33,5.46,2.75
Nigeria,-0.07,0.09,3.22,1.9
North Macedonia,1.6,0.98,-1.33,-2.04
Norway,0.78,0.89,0.41,0.92
Oman,0.69,1.06,2.83,3.15
Pakistan,0.73,0.62,2.74,2.05
Panama,0.85,1.14,1.3,1.74
Papua New Guinea,0.6,1.02,2.27,1.48
Paraguay,0.76,0.53,0.64,0.73
Peru,1.07,1.33,0.47,0.53
Philippines,0.75,0.57,1.14,0.96
Poland,0.78,0.54,-0.17,-0.24
Portugal,0.61,0.51,-0.15,-0.3
Puerto Rico,1.08,1.29,-0.53,-0.79
Qatar,1.44,2.56,1.27,2.03
Republic of Korea,1.52,2.73,-0.04,-0.08
Republic of Moldova,0.68,-0.75,-2.63,-2.81
Romania,0.37,0.07,-0.32,-0.37
Russian Federation,0.8,0.41,-0.19,-0.19
Rwanda,1.13,0.74,3.25,2.22
Saint Lucia,0.26,-0.28,0.31,0.35
Saint Vincent and the Grenadines,0.77,0.7,-1.41,-1.47
Samoa,0.43,0.31,1.01,0.86
Sao Tome and Principe,0.67,0.36,2.44,2.08
Saudi Arabia,1.9,1.67,0.38,0.46
Senegal,0.1,-0.15,4.29,3.03
Serbia,1.68,0.87,-2.32,-3.52
Seychelles,0.4,0.35,2.76,2.35
Sierra Leone,-0.19,0.35,2.87,1.48
Singapore,1.56,1.86,0.41,0.82
Slovakia,0.97,0.75,0.03,0.04
Slovenia,0.62,0.54,0.13,0.25
Solomon Islands,0.74,0.54,4.03,2.6
Somalia,2.88,1.83,3.16,1.45
South Africa,0.66,0.88,3.05,2.26
South Sudan,-0.29,0.5,6.38,2.64
Spain,0.72,0.65,0.22,0.5
Sri Lanka,1.62,1.79,0.68,0.97
State of Palestine,1.39,1.27,1.73,2.35
Sudan,0.6,-0.28,3.97,3.41
Suriname,0.17,0,1.67,1.51
Sweden,0.2,0.53,0.37,0.82
Switzerland,0.55,0.71,0.25,0.62
Syrian Arab Republic,-0.24,-0.76,6.6,4.48
Tajikistan,0.34,-0.32,2.26,2
Thailand,1.09,1.22,0.67,0.72
Timor-Leste,-0.43,0.47,1.64,1.22
Togo,0.83,0.06,4.62,2.65
Tonga,0.48,0.34,-0.08,-0.07
Trinidad and Tobago,0.68,0.23,0.88,0.9
Tunisia,0.7,0.67,0.64,0.97
Turkey,1.3,1.17,0.62,0.88
Turkmenistan,-0.05,-0.61,5.5,3.67
Uganda,0,0.53,5.73,3.28
Ukraine,0.37,0.41,-1.19,-1.3
United Arab Emirates,4.5,2.02,1.53,2.15
United Kingdom,0.39,0.45,0.41,0.78
United Republic of Tanzania,-0.26,-0.17,5.79,3.64
United States of America,0.39,0.6,0.57,1.06
United States Virgin Islands,0.24,0.38,-0.93,-1.03
Uruguay,0.44,0.6,0,0
Uzbekistan,0.85,0.26,2.04,1.89
Vanuatu,0.59,0.49,2.52,1.74
Venezuela (Bolivarian Republic of),0.74,0.37,0.48,0.43
Viet Nam,1.72,1.2,0.6,0.6
Yemen,-0.06,0.06,4.53,3.16
Zambia,0.18,-0.33,5.3,2.92
Zimbabwe,-0.1,0.14,3.87,1.86
